Date,Close/Last,Volume,Open,High,Low
03/28/2022,$3379.81,2992691,$3299.5,$3380.75,$3298
03/25/2022,$3295.47,2454275,$3280,$3307.37,$3245
03/24/2022,$3272.99,2839903,$3274.99,$3282.37,$3201
03/23/2022,$3268.16,2790593,$3274.1,$3327.4,$3253.74
03/22/2022,$3297.78,3204306,$3236.11,$3323.34,$3233.98
03/21/2022,$3229.83,3326876,$3222.415,$3261.68,$3191.06
03/18/2022,$3225.01,5148138,$3136.26,$3231.88,$3120.22
03/17/2022,$3144.78,3646742,$3052.81,$3149.97,$3042.8
03/16/2022,$3062.08,4247884,$2970,$3063,$2947.07
03/15/2022,$2947.33,3779230,$2857,$2959.7,$2840
03/14/2022,$2837.06,3704305,$2919.62,$2949,$2817.68
03/11/2022,$2910.49,3445028,$2991.49,$2993.5,$2907.38
03/10/2022,$2936.35,6753145,$2913.7,$2973.485,$2879.56
03/09/2022,$2785.58,4132833,$2790,$2805,$2736.56
03/08/2022,$2720.29,4583129,$2733.67,$2813.99,$2671.45
03/07/2022,$2749.06,4346693,$2908.87,$2921.89,$2748.33
03/04/2022,$2912.82,3049156,$2943.18,$2957,$2876.14
03/03/2022,$2957.97,3259860,$3070.63,$3078.58,$2937.12
03/02/2022,$3041.05,2366736,$3016.98,$3059.99,$2975
03/01/2022,$3022.84,2243679,$3054.65,$3081.98,$2999.54
02/28/2022,$3071.26,2884171,$3048.5,$3089,$3017
